ht_bib_key,oclc_num
000017815,4056141
000017830,1530151
000017845,1530181
000017847,1032981
000017925,1365411
000017951,1530231
000018066,1365601
000018088,1365671
000018100,1206081
000018105,5899071
000018114,4358781
000018140,1206151
000018144,1530401
000018170,5239781
000018190,1530421
000018222,1530441
000018234,4493841
000018266,1530451
000018292,1530461
000018308,1036631
000018331,1530481
000018355,1530491
000018428,1530541
000018487,1366061
000018488,1530561
000018527,1207331
000018543,1207341
000018548,1366111
000018552,2645371
000018560,1530611
000018637,1530641
000018660,1207401
000018671,1530671
000018686,1530681
000018720,3771651
000018780,1530731
000018820,1041001
000018822,4244391
000018825,1366311
000018847,1208631
000018865,1209241
000018869,1366331
000018897,1209931
000018916,1366401
000018919,23221
000018920,1530811
000018929,1366421
000018942,1042091
000018943,1530821
000019005,4495321
000019009,1366591
000019038,1530871
000019102,3033801
000019165,1212611
000019331,15563171
000019443,1045901
000019475,1531271
000019476,2970001
000019546,1098541
000019574,1531381
000019582,1531391
000019590,1531401
000019671,1215611
000019717,1046101
000019752,4549941
000019756,8992601
000019778,1377751
000019785,5412981
000019791,622011
000019832,4638121
000019936,1217241
000019957,1380951
000019990,1192191
000020009,1046781
000020077,1217461
000020089,1217471
000020129,4496631
000020162,1531771
000020165,4549711
000020169,5241811
000020180,6208051
000020209,4956861
000020223,1531811
000020224,1384481
000020240,1531821
000020247,1531161
000020263,5411151
000020303,1531861
000020402,1218341
000020426,1218371
000020444,1531911
000020470,1388241
000020500,1682101
000020627,4942941
000020654,1218491
000020692,1218501
000020725,5968271
000020746,1620431
000020750,1532021
000020857,1532091
000020860,1218581
000020868,1218591
000020893,3726331
000020895,1394911
000020919,1395241
000020924,909271
000020926,2799031
000020972,1532141
000020974,1395821
000021056,1682641
000021212,1683081
000021310,6221681
000021383,1622071
000021414,1622101
000021416,1259511
000021461,3841201
000021507,5831591
000021558,1534041
000021604,1622191
000021635,3729521
000021661,1054021
000021688,1226801
000021787,4957501
000021805,1054101
000021855,1228691
000021897,1054131
000021914,1229151
000021986,3709831
000022031,1229371
000022045,1054221
000022056,7694311
000022062,1054231
000022087,1229441
000022098,1229461
000022276,5658431
000022301,2371701
000022304,3242461
000022327,4805131
000022365,1230071
000022424,1623021
000022441,1538771
000022479,1230511
000022499,4777181
000022531,1686871
000022638,5768601
000022685,4275241
000022686,1416501
000022745,4135941
000022784,1230691
000022799,1418381
000022836,719931
000022839,1418431
000022883,1230741
000022887,1418441
000022936,1055471
000022949,277821
000022951,1230791
000022957,1230801
000023006,1055541
000023032,1540551
000023054,5836041
000023084,1231301
000023110,1055581
000023151,5678051
000023175,1232761
000023224,4882681
000023284,4004011
000023294,1418701
000023306,1509331
000023389,1689841
000023407,3542741
000023425,1418761
000023444,4834041
000023491,5830701
000023494,1418781
000023497,5725791
000023543,1237851
000023552,1418801
000023569,5333811
000023605,4351141
000023656,1239471
000023701,5171131
000023703,1056811
000023714,1056821
000023744,3912551
000023770,4504261
000023786,1418901
000023793,1544601
000023802,5834071
000023819,1051281
000023820,1418911
000023833,1418921
000023836,5285811
000023853,4804511
000023855,5170281
000023859,4036551
000023874,4957331
000023892,1241481
000023903,1418961
000023989,3868911
000024000,1419141
000024039,4821
000024114,5447641
000024211,1245661
000024213,6424491
000024298,1419621
000024328,4665021
000024369,1057571
000024377,5101831
000024404,1057621
000024423,4804941
000024490,1692531
000024495,1421791
000024563,624711
000024582,1548001
000024649,650101
000024671,4933321
000024715,1630141
000024719,4503991
000024764,1251321
000024781,4774551
000024854,5674801
000024894,5102131
000025024,3966151
000025025,1693841
000025156,1693911
000025181,30547581
000025189,1426411
000025219,6016631
000025241,1693951
000025311,1551081
000025346,3207091
000025380,1551121
000025397,1428731
000025426,3168591
000025450,14735041
000025471,1694031
000025505,2818571
000025533,1551281
000025553,1694041
000025586,1254931
000025690,1694101
000025731,1694121
000025734,1255021
000025748,1694131
000025759,1712091
000025787,3052561
000025840,1694151
000025891,1694171
000025896,1551511
000025906,1694191
000025931,1255141
000025939,1255151
000025987,1633301
000026013,1255421
000026049,4036821
000026171,1694561
000026177,3035271
000026217,878681
000026332,1256051
000026353,1256061
000026396,1256101
000026409,3433561
000026429,1694841
000026449,1256171
000026505,4515411
000026513,1694961
000026545,1256241
000026608,1256491
000026649,3608721
000026726,1256851
000026836,1256931
000026842,1256941
000026876,1438271
000026890,1256971
000026905,238471
000026949,6329801
000026956,1257011
000027019,48805041
000027035,1083751
000027044,5239521
000027059,1257071
000027067,5208691
000027069,1257081
000027079,5264831
000027129,3185691
000027152,2896101
000027190,1257141
000027216,1085511
000027266,1697981
000027275,5727181
000027317,6146751
000027322,4835411
000027416,1257821
000027445,1085701
000027498,1258231
000027611,1085791
000027714,1085851
000027718,1259491
000027773,5170251
000027845,1637751
000027888,1262141
000027934,1262681
000027941,1262971
000027986,5171891
000028072,1558741
000028173,3073981
000028217,1637971
000028219,1449741
000028232,1449811
000028233,1637991
000028265,4344431
000028377,5219211
000028498,5411161
000028504,5103351
000028530,5239741
000028537,1638261
000028539,5219051
000028547,5498001
000028560,6041461
000028610,1701391
000028625,4593701
000028662,4055961
000028686,1272551
000028711,1091631
000028757,1272611
000028787,4832081
000028856,1273171
000028868,1091651
000028909,4492841
000028911,3710701
000028922,5264111
000028936,4593621
000028946,1273341
000028976,1273351
000028981,1456251
000029029,1273391
